bus_origin,bus_departure,bus_details_1,bus_details_2
Paris,02h00,Place de la Nation,Colonne Avenue du Trône
Lille,02h00,Parking Porte de Paris,Hôtel de ville
Amiens,04h00,Place Longueville arrêt bus ametis,à côté du Cirque Jules Verne
Orléans,07h15,Auchan Avenue Pierre Mendès France,Saint-Jean-de-la-Ruelle
Strasbourg,03h00,Place de l'Etoile,
Mulhouse,04h30,Gare SNCF,10 Avenue du Général Leclerc
Besançon,06h30,Parking Battant,115 rue Battant
Marseille,03h45,Square Narvick,derrière gare Saint-Charles
Avignon,05h30,Auchan le Pontet,Avenue Isaac Newton
Valence,07h30,Gare Routière,
Narbonne,03h45,Parking gare de péage,sortie 38 de l'autoroute A9
Toulouse,05h30,Métro Gramont,
Albi,06h45,Place Jean Jaurès,Devant Brasserie La Halte
Bordeaux,04h15,Gare Saint Jean,Face à l'hotel Ibis
Périgueux,06h30,Centre des Congrès,
Brive la gaillarde,08h00,Place Teinchurier,
Brest,23h45,Terminus Tram,Porte de Gouesnou
Vannes,01h45,Parc des Expositions,arrêt des bus face hôtel Mercure
Nantes,03h30,Esplanade Le cardot,"Parking autocars, Rue du Wattman"
Rennes,01h00,Métro Poterie,
Laval,02h30,Supermarché Carrefour,46 av. de Lattre de Tassigny
Le Mans,04h00,Place Henri Vaillant/Rue Vauban,
Tours,05h45,Parc des Expositions,Avenue Camille Chautemps
Rouen,00h30,Place du Boulingrin,
Caen,02h30,Gare Routière centre-ville,
Metz,01h00,Parking de la Patinoire,
Nancy,02h00,Gare de Nancy-Ville,
Dijon,05h15,Parking Palais des sports,Avenue des Grands Ducs d'Occident
Mâcon,07h15,Parking du péage,Sortie 29 de l'autoroute A6
Chambéry,06h00,"Parking Carrefour: centre Chamnord, ",1097 Avenue des Landiers
Lyon,08h00,Place Bellecour - côté Saone,
Nimes,04h45,Stade des costières,
Montpellier,06h00,Rond point Autoroute St jean de Védas,à côté du Tram
Nice,23h45,Gare Routière,16 Avenue des Diables Bleus
Toulon,02h15,Gare Routière,
Aix-en-Provence,03h45,Casino,21 Avenue de l'Europe
Grenoble,06h00,Gare Routière,
Saint-Étienne,08h15,Parking du stade Geoffroy Guichard,Boulevard Thiers
La Rochelle,02h00,Parking de la piscine municipale,rue Léonce Maillho
Angoulème,04h30,Parking du stade de rugby,Chanzy
Limoges,06h30,Boulevard Beau Blanc,Entrée stade beau blanc vers Paris
